cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,page-faults:u,IPC,CPI
307675208,360948795,533793,52213,2915005,41431,1506,172,655418,100,30,80,59526,367727,636435,697613,190763,1439050,697613,56906,4636,2493,20571,799,1.17,0.852406802
308264647,437613355,65626,26592,128177,18352,4902,5115,121852,4194,13836,1638,141215,251943,509644,466467,119712,859401,466467,49372,2719,10443,33995,280,1.42,0.704422394
302974888,511313636,385912,1682419,9089309,16551,45261,112463,289464,4652,13016,495,15070,158736,284095,592891,48224,621430,592891,71820,244907,89532,32215,294,1.69,0.592542163
308999044,241320769,206724,567030,4003705,12316,58009,168021,323716,5423,907,496,12839,263733,510443,834548,33093,222403,834548,76159,76995,113604,34863,0,0.78,1.280449442
302496603,268206721,484209,438628,3819969,5168,2477,45607,845694,591,5136,10,6780,45397,126281,12786,230944,11872,12786,2153,32605,119952,37303,316,0.89,1.127848705
308981130,356101767,679510,52515,3006526,42444,76021,44336,589189,19650,45430,2280,25076,80484,15901,81659,7298,17090,81659,4422,6765,4177,53360,764,1.15,0.867676486
309182019,449605489,119072,321632,3913449,1479385,73620,152332,507940,5371,23919,726,16468,102139,95394,202256,21893,59382,202256,5197,6860,3768,15498,259,1.45,0.687674031
308004597,401373188,261397,745266,5478428,13143,61175,176044,346957,5293,2917,415,14383,306781,438622,1122093,99485,307158,1122093,159748,421714,146923,20177,280,1.3,0.76737711
307256332,402126919,367925,1139176,7592542,16088,79621,179069,402431,11562,13587,255,17903,348622,327382,501409,170483,435623,501409,3630,145304,1672,4410,0,1.31,0.764078
308822203,180502486,451226,245205,2607817,4751,2101,31632,832184,2380,8705,2215,38440,31987,133537,381015,197360,793876,381015,30382,146588,3514,5325,316,0.58,1.710902768
308964971,378890360,650562,1206089,5208755,61744,199454,231549,324412,3613,220,175,5998,5505,52779,7398,129308,9906,7398,375,4353,1315,43228,764,1.23,0.815446904
305949717,464518531,511712,1264818,9717275,102396,108739,200830,565344,6280,4330,235,9084,24802,32236,41635,54820,13708,41635,2988,6935,2837,1567482,262,1.52,0.658638346
307339662,465316187,368349,1284251,7432981,15061,84569,185541,407241,11478,16430,522,27098,457395,812032,608383,119509,712097,608383,53086,247927,14581,8139,280,1.51,0.660496391
308291936,559155286,384141,1255743,9843323,15029,75025,72776,472124,12215,8315,851,24139,133237,130986,70400,6453,107622,70400,1065,183136,115646,17942,0,1.81,0.551352985
309118132,184673985,980103,477755,3530886,16161,5161,59122,723415,318,852,1407,33825,199456,229368,89804,10837,200696,89804,2273,47889,2280,4992,313,0.6,1.673858568
292955225,400447372,402269,1770581,4121622,47222,130032,34300,130682,759,179,1426,41540,31062,126322,13700,24075,4291,13700,657,5231,1810,43265,764,1.37,0.731569853
308448206,533584015,296343,726078,13011376,445930,123843,223857,436994,6702,17971,1067,13829,4855,17448,268997,7299,13789,268997,29759,239389,35222,1610668,272,1.73,0.578068678
309164681,383127792,316097,1227947,6702277,14782,64448,174970,374536,2943,351,747,11292,75295,271705,831587,88719,1094390,831587,66892,471825,30026,10376,280,1.24,0.806949241
307070132,540431375,380069,1765704,9389526,15126,58132,87606,422535,12255,19530,581,15802,330025,297444,90824,51776,223708,90824,739,19770,5475,11832,0,1.76,0.568194495
308760362,161906288,795055,289551,3110764,11270,14013,33033,1050659,11900,6397,180,17061,428462,430217,84548,42451,649671,84548,2298,48807,2793,5968,313,0.52,1.907031319
301521068,401539975,561718,1732288,5470952,64754,229684,269349,443662,1556,2315,611,36135,32170,129430,12348,20630,6502,12348,532,6026,1547,42782,483,1.33,0.750911707
305379816,478311866,650601,1463622,8699481,69591,95538,71790,318671,451,195,175,5392,4598,14978,42625,8720,12366,42625,3815,20567,35293,2855983,115,1.57,0.638453356
306497889,497266048,382199,2007905,8548055,27076,45169,133865,362363,2230,1909,506,14432,350998,549904,175054,74594,643165,175054,1660,121223,908,8037,421,1.62,0.616366008
308201105,547302526,368545,1178582,9572520,22998,60732,99730,447946,14438,12680,305,13865,19534,99663,175409,1152,114137,175409,47786,744483,119615,17771,0,1.78,0.563127503
308754201,243727146,741991,860687,7517127,21167,82783,32375,453635,13028,11597,395,14980,78064,56561,93368,5262,214871,93368,8199,88538,10054,5074,317,0.79,1.266802677
287117117,420829485,862786,1835559,5506897,34309,23911,17668,834221,125,55,280,37339,30284,127188,12405,27710,12373,12405,826,4022,2405,83630,406,1.47,0.682264735
293766012,423022337,358075,1193642,2869037,37850,82218,11424,73802,476,150,140,4906,4861,15424,563207,31531,116928,563207,32419,304132,27628,173336,476,1.44,0.694445627
302246677,534961608,484524,1616132,8907744,23423,41578,114792,347699,9873,22874,826,20503,213490,312219,98327,2932,165401,98327,1121,315719,121580,17598,421,1.77,0.564987604
307873642,547112287,416053,1495822,9952131,14635,76726,138022,415486,5709,8651,55,6150,27610,98991,491286,70023,719048,491286,45611,77784,6722,13446,0,1.78,0.562724781
306818652,514060171,476978,1609631,11166296,17359,98519,67058,427676,7733,17910,250,6670,18950,73396,83743,5262,199292,83743,2311,9867,3734,23364,316,1.68,0.596853577
308898073,361794577,836162,330736,3485975,38938,2358,228,637587,95,60,50,39386,32024,136233,252943,3909,3414,252943,112749,1004763,290409,93202,289,1.17,0.853794094
300488787,407984300,96084,281132,121959,14191,2640,2553,63465,511,130,150,5578,17135,190584,205413,95652,1242402,205413,105616,253906,228955,60181,596,1.36,0.736520467
305349456,539947172,347855,1350744,8042142,13886,86671,110543,343750,10386,15369,390,10477,30739,105316,576804,41272,532464,576804,144195,1371789,132089,34460,421,1.77,0.56551728
308060656,528260912,465653,1707879,9893535,16008,52608,113695,299401,922,2521,125,9933,285472,439616,316909,50685,64000,316909,9481,68225,6484,11897,0,1.71,0.583160043
308897711,516653237,476780,1555617,9858398,16350,67008,80814,555253,1177,6444,20,5707,18805,61001,350465,39654,95632,350465,41845,340812,91392,17509,313,1.67,0.597882078
309113306,328540151,618470,47228,2758975,38788,1356,554,699443,105,20,456,39234,32527,123171,946138,336765,513620,946138,3648,127730,7655,27001,7,1.06,0.940869191
308563736,434832693,63229,21331,130226,15236,2704,2576,63628,1958,1452,2434,70688,96232,616624,1101932,156180,2063531,1101932,212746,231611,172736,15722,878,1.41,0.709614849
307803380,543934832,316136,1513977,8981209,17881,113430,180704,350928,1804,6330,10,8275,165461,293226,834837,300084,860510,834837,72123,570263,77107,16643,426,1.77,0.565882826
308163173,422623742,346785,1172128,6400673,10270,5253,64730,244842,8107,16983,541,14613,82052,383282,199856,189162,433587,199856,8468,302648,54103,18890,0,1.37,0.729166732
302295032,430516593,339793,1191850,5839209,11771,21614,50686,679785,2084,5472,5,6441,15668,62095,865006,113768,852108,865006,78788,207838,68245,15611,313,1.42,0.702168132
308854866,347629916,690043,45926,2843234,40958,1472,187,686165,120,20,377,38506,18498,96239,270623,38683,1001303,270623,6928,251506,3853,39072,0,1.13,0.888458823
309167883,438783403,62522,20334,134209,15394,5772,34522,157775,4269,15520,2735,138490,484766,752919,440045,149499,1023209,440045,1829,6859,2530,15047,882,1.42,0.704602501
308784261,578820882,279427,1371166,8424609,13807,122467,173974,366035,7048,15916,1178,108257,111447,409678,587866,34954,804280,587866,106758,702354,106497,20718,430,1.87,0.533471184
307101559,508415582,466885,1682730,8689367,13487,33356,96857,254085,962,1653,789,16623,30808,113634,515418,90606,733977,515418,51206,4642,18888,14508,0,1.66,0.604036481
308883748,483859532,434044,1563494,8448480,14574,52033,86213,547687,1346,7717,1160,21085,275452,265731,565942,32082,593619,565942,41016,428706,74835,16758,313,1.57,0.638374833
308871941,333291697,639886,48109,2749845,38533,2109,27421,634823,1717,6077,516,4219,17508,59145,130252,0,206394,130252,5899,193347,7642,35474,0,1.08,0.92673158
309163004,437701483,61942,19798,121729,17241,4313,3699,247046,512,67,576,37987,28871,422139,963388,260781,2015724,963388,163400,28440,1873,15724,481,1.42,0.706333006
304387893,538314213,357982,1608273,9277925,29794,136530,115958,304787,4152,12099,2355,111438,90596,528529,567233,121451,891586,567233,50351,420548,9875,12518,539,1.77,0.56544651
305842799,361245768,316417,976457,5709490,19469,4021,54530,201963,1608,4165,55,12745,275365,443464,343060,69715,45367,343060,35843,343803,116389,16760,0,1.18,0.846633583
302447046,371420273,282077,1235645,5014024,16960,2989,60905,272086,8484,15826,551,12830,77373,320565,823275,88608,882330,823275,90636,70320,89029,15717,316,1.23,0.814298701
308810368,353263530,696512,65542,3051594,31632,4029,28135,882653,1232,5603,10,3979,18794,69168,248237,24230,645672,248237,5613,64395,1102,39831,0,1.14,0.874164304
308942893,434659944,195324,37432,1375796,39487,3098,759,620068,90,1017,2139,53681,428632,854816,115457,131025,531523,115457,2368,6152,2881,15004,764,1.41,0.710769182
301377660,472544103,325268,1348984,4826285,541612,32806,81272,240238,4746,14495,2380,117621,294232,535478,270098,88864,671038,270098,8697,48181,9292,13351,398,1.57,0.637776788
304123312,335775419,270385,826068,4966239,20867,17796,98533,262217,5640,18564,566,16501,186311,85446,802342,66174,666042,802342,78193,216134,99275,15224,141,1.1,0.905734294
301180045,250785775,196509,458847,4554133,20256,59061,160042,317293,5623,3839,425,13982,305593,436437,1231352,38861,308678,1231352,69403,150602,139607,17846,316,0.83,1.200945488
308098081,226537316,657461,316601,3183178,10278,3085,42030,941062,451,5206,15,5607,39187,121864,13725,124807,72414,13725,551,4798,1321,40323,0,0.74,1.360032362
308113446,353506927,694747,56513,2936246,42150,1569,22006,657210,13115,36730,3422,47454,246131,173008,36881,9134,19558,36881,2687,7217,2913,20344,764,1.15,0.871590972
308762532,436353633,86361,249547,2545025,1461392,18358,108313,404580,4595,16227,1332,16878,165228,206926,386400,36267,55668,386400,93987,367675,194521,42801,398,1.41,0.707597024
306164814,392311392,300909,996890,5172107,11900,68464,180510,316975,8615,11869,365,12789,220678,348663,789305,36203,507965,789305,51030,282389,17739,35850,141,1.28,0.780412754
309119160,287006580,310621,1235120,6218037,14029,70525,195443,415752,8173,15810,481,17286,354945,439032,714155,16901,326325,714155,99195,371514,59448,27913,316,0.93,1.077045551
309051403,212038503,830267,341346,2932267,4739,4165,38733,1073856,2294,12628,1508,26646,35369,126000,56452,33057,7078,56452,4096,171140,4343,18974,0,0.69,1.457524924
309084261,359686278,684421,108270,3568505,60081,115481,235861,510747,13286,24903,2058,23686,4723,15208,130679,11412,17066,130679,4641,5903,2522,40528,764,1.16,0.859316243
305662747,456314573,292262,496956,6427796,1523348,86759,176688,620796,6630,18444,696,16108,78783,89783,703183,113226,778008,703183,16267,5325,3665,15631,329,1.49,0.669850943
308898186,312681862,250270,1390041,5889846,14770,72921,161123,343608,5623,11964,491,16671,249957,436373,814298,214387,902012,814298,103708,430560,88035,17935,210,1.01,0.987899279
307328822,491197910,366112,1327845,8770335,14653,46170,68002,408921,11243,8370,170,15352,386661,506533,138928,143332,143635,138928,1773,33951,1353,5670,0,1.6,0.625672088
308791460,174396866,906992,338697,2943478,5991,5236,68669,939485,2275,10779,2435,35915,32203,213173,138666,198948,836654,138666,1421,40178,3589,5368,316,0.56,1.770625052
309115381,391802092,607956,1479920,5245905,58879,209047,252089,267837,1398,160,260,7165,12303,81762,19627,87698,9854,19627,852,5870,1766,44310,764,1.27,0.788957965
306184881,475549208,478410,705486,12828675,539864,79655,125171,394390,7262,28190,890,28120,120128,39294,54370,19423,17881,54370,3333,5995,9836,2832270,268,1.55,0.643855306
308985583,404382589,256368,692265,4986754,12398,60566,179528,342665,5669,895,839,20369,92106,110939,504934,21471,117675,504934,119852,389890,128133,21420,280,1.31,0.764092202
307078842,359677946,342504,1092818,7214157,14633,79211,182791,415065,11067,19236,1241,27698,327281,514772,450797,66043,397291,450797,34808,151358,1942,8030,0,1.17,0.853760553
308676781,209859636,540170,305964,2718642,5474,2652,46378,824223,3139,10017,1198,21468,338532,442893,603131,44316,649404,603131,44441,275900,1540,5361,313,0.68,1.470872565
308764557,364928133,658313,645842,4656418,54547,211084,246573,460235,13589,14574,3246,46299,29248,122960,10055,41081,18757,10055,595,9278,1722,40973,481,1.18,0.846096886
305920522,459898897,420158,909456,8373659,938563,117668,128521,591405,6291,5340,808,13129,4861,14227,53857,9240,20880,53857,3558,6521,4040,15631,118,1.5,0.665190815
309155624,399953910,334480,1239702,6878336,14389,70548,290058,378408,2753,11983,771,9808,72416,315079,816383,84720,1164722,816383,68891,455890,22263,10619,421,1.29,0.772978126
307425254,542547465,405142,1608739,9450103,15335,35602,91362,415099,9494,16750,541,17855,320355,288588,111756,47581,123972,111756,720,9152,1641,12703,0,1.76,0.566632919
309111036,168018271,579550,324229,2694085,12608,33271,49647,969558,14459,6906,125,15202,317214,395410,67779,35914,559636,67779,2913,95809,3320,7511,316,0.54,1.839746559
300933350,397235511,551436,1766209,5772598,66510,210745,245356,488229,1353,45,1398,35103,27997,119475,14246,38904,4943,14246,375,3721,1415,42507,485,1.32,0.757569104
306444686,478496195,677221,1391144,8048487,68662,99790,78200,288229,441,170,170,5472,4723,14727,51581,6064,14082,51581,6959,20541,35624,2900675,397,1.56,0.640432859
306924440,497369067,407778,2192068,8507992,26744,51058,135144,378354,2155,2079,365,14268,356766,534759,196256,64746,649139,196256,4310,218326,4060,8376,421,1.62,0.617095956
307724716,543730056,341700,1194246,9649139,23337,74402,75157,427152,11613,12160,295,12632,32481,102318,277648,1441,76153,277648,89500,734325,115744,16582,0,1.77,0.56595127
308014056,285738783,796181,891942,8434926,21401,86334,29849,471154,13300,15707,461,13697,63934,52943,136856,6095,220153,136856,1766,35232,1766,4128,316,0.93,1.077956771
288882672,395011033,883020,1757273,4966956,34366,5188,18279,824234,70,40,1222,34053,29592,124756,12102,26918,5506,12102,563,3608,2424,81476,406,1.37,0.73132811
293248620,410050096,288920,1133749,2234013,34011,86630,12596,68706,516,160,85,5433,4410,14572,538050,34350,221351,538050,30610,321961,21596,159563,476,1.4,0.715153155
302279610,533645585,532892,1809757,9053907,16167,45285,158636,351303,10099,24768,872,18185,204790,220339,110975,5626,185971,110975,1948,386257,122249,20994,421,1.77,0.566442633
308234961,551569860,383409,1400465,10033382,17270,77122,137190,416517,4997,7358,15,6626,27641,87025,494273,91452,712341,494273,57085,5275,14573,26761,0,1.79,0.558832132
307853750,512231879,477980,1686035,11014536,16663,142734,75176,412503,6831,17108,60,6178,19237,70057,76609,2324,186505,76609,663,17466,8509,26273,316,1.66,0.601004667
309047551,356907460,866425,330733,3432501,37393,2352,175,676962,115,60,235,36502,28856,128685,177095,16332,2831,177095,113967,474753,206674,87591,7,1.15,0.86590387
299941049,403328038,96447,310853,130455,15100,2507,2247,65035,536,135,145,4668,17663,158426,215477,148867,1129128,215477,6173,958032,154820,64181,875,1.34,0.743665257
305677276,540255098,347546,1341997,8036508,13998,87877,107782,344606,10160,15503,411,10717,32368,105345,490335,28590,479297,490335,194843,983808,213984,30180,421,1.77,0.565801743
308047589,528386179,457038,1735835,9946461,16451,57807,111394,299378,1047,2565,50,9616,282164,434946,550367,55474,13993,550367,70693,538413,73454,11721,0,1.72,0.58299706
308602444,517110701,482611,1488323,9754491,16323,73408,81130,563279,1453,6114,10,6179,18776,65893,343096,53055,155134,343096,41089,330862,92409,18839,316,1.68,0.596782166
308816843,334698945,644778,54512,2767004,38280,1290,244,736021,90,45,70,39754,31574,134473,201467,121060,151229,201467,2899,61070,7661,21513,0,1.08,0.9226705
309175908,434167970,65728,19421,126579,15386,3082,3110,63150,556,1177,1508,54779,95288,604789,1319861,353259,1937144,1319861,215646,756328,185763,37060,882,1.4,0.712111278
304444816,536078252,511384,1870379,8579827,14190,58984,91826,332213,14140,30283,636,16845,85654,308297,431766,332659,731040,431766,46266,212431,121219,283078,430,1.76,0.567911149
307857640,545108576,408109,1325544,10436182,18010,76761,130388,368160,1493,2476,30,7595,22759,94558,168602,58599,182424,168602,49683,791049,122121,20730,0,1.77,0.56476389
308333684,514143049,474287,1414909,11094298,17202,94362,89283,361741,2225,13125,240,11529,26380,312438,343341,125238,680430,343341,4961,122218,55309,15021,313,1.67,0.59970408
309055533,375710329,601612,293638,3065519,39633,1121,272,702129,130,38,1759,36815,31082,131280,27805,3358,189495,27805,1691,34908,2098,7379,0,1.22,0.822589929
308954494,562618491,356536,59224,13113946,742397,4701,31,334586,899,135,1556,304558,33459,133379,715790,27337,162766,715790,156658,1185842,218540,163669,406,1.82,0.549136758
309048248,571696200,298164,22178,13116567,736883,4632,37,251220,586,111,704,695905,1172596,2114205,86407,7592,12547,86407,3439,263,4773,740118,0,1.85,0.540581253
308957815,577199321,252500,22664,13101200,712985,4612,58,260195,426,49,612,682991,1189751,2122120,74304,2486,4170,74304,3456,244,4959,717951,0,1.87,0.535270579
308921600,574877280,251435,22691,13131481,734484,5142,177,255558,1094,55,402,678353,1169324,2125167,63682,1571,951,63682,3600,263,4721,733505,0,1.86,0.537369645
309087836,574242672,261491,23762,13062716,738797,6047,135,264062,519,23,85,698400,1164757,2116139,68328,3876,1264,68328,3500,331,4922,739645,0,1.86,0.538252991
